28,34,78,58,94,84,62,61,13,43,40,7,53,88,99,65,23,93,70,38,28,67,30,52,7,59,55,30,6,58,93,98,80,84,73,56,53,98,58,98,4,39,37,31,98,69,21,53,44,34,76,21,87,11,12,8,75,30,54,92,83,57,60,25,42,30,50,57,42,97,16,1,52,52,59,48,93,57,39,45,67,39,51,67,70,31,66,39,60,85,54,82,47,81,52,4,67,32,40,49
7,37,28,30,10,21,77,37,46,12,94,6,77,52,78,85,11,63,85,96,56,31,79,84,27,12,9,59,41,58,1,85,86,56,5,30,77,12,88,43,49,5,32,71,33,31,45,65,78,43,97,82,84,38,32,83,99,32,52,35,81,5,32,45,14,67,38,27,88,55,70,68,95,59,53,89,59,50,35,3,99,96,39,90,5,61,18,30,53,55,91,46,56,100,96,65,96,74,45,68
48,62,14,41,37,36,73,70,74,68,50,30,35,68,16,41,9,91,100,78,92,61,42,23,91,58,46,41,24,16,56,86,30,46,95,62,50,74,18,28,76,32,93,25,59,24,51,40,30,100,89,1,7,71,65,92,97,25,87,33,51,5,63,63,16,87,7,84,93,75,80,86,33,57,40,60,49,11,38,93,8,34,51,47,70,74,7,83,44,41,31,16,23,16,53,26,46,59,86,65
7,21,30,55,47,86,4,56,33,78,21,53,97,61,86,71,91,80,73,8,49,5,61,84,18,5,55,63,65,42,73,64,26,7,43,14,78,91,24,23,38,27,71,20,76,59,29,68,23,24,69,58,85,6,60,24,8,73,7,67,92,3,94,33,8,17,17,24,41,56,74,83,80,63,57,79,71,64,42,70,17,99,69,81,63,13,73,98,40,81,12,26,62,43,17,21,22,49,6,49
25,38,21,48,6,40,45,29,52,76,42,9,40,77,5,10,70,53,51,14,35,17,76,70,19,49,50,25,72,75,94,47,16,79,65,71,7,66,7,12,62,16,15,46,41,19,94,11,13,71,54,25,58,12,9,79,82,67,39,13,46,69,1,60,26,7,78,84,54,40,20,28,50,27,41,42,5,42,62,64,91,3,45,71,36,6,11,92,3,100,95,3,93,12,19,93,19,5,16,21
23,86,7,100,82,36,29,9,23,92,77,49,5,81,57,19,49,39,68,15,67,12,27,15,49,67,6,44,7,90,77,23,95,69,98,12,62,34,27,74,93,84,25,40,13,62,70,98,83,27,48,88,98,64,36,15,13,12,9,95,96,24,35,79,45,33,60,94,94,48,87,96,39,13,24,35,95,100,81,25,25,39,82,13,10,94,94,36,63,53,63,1,73,81,15,72,45,2,88,3
24,67,65,15,90,20,33,63,96,95,77,61,52,32,98,80,69,56,53,61,74,71,70,82,93,37,46,58,65,95,85,27,63,14,86,58,4,97,64,35,82,11,23,61,89,44,59,57,65,81,48,6,81,4,17,15,57,54,59,17,78,48,68,56,92,41,53,20,69,43,24,13,98,54,13,25,63,92,42,83,43,11,22,46,19,99,85,59,46,36,3,55,48,46,8,72,21,43,75,46
65,67,24,61,64,62,99,83,61,90,48,71,20,41,15,19,73,50,39,3,66,73,97,31,43,35,1,94,64,85,62,26,62,77,43,71,24,66,95,49,99,33,48,21,16,26,72,91,84,20,29,77,53,71,6,63,80,61,91,12,83,57,34,65,100,66,59,27,52,34,89,80,88,36,43,54,78,41,10,23,15,11,23,13,78,14,37,5,95,16,10,41,76,39,46,28,38,69,42,99
33,20,91,72,69,51,55,40,85,91,98,72,45,21,7,96,81,8,23,24,93,42,87,28,78,36,60,53,89,69,96,31,39,67,66,51,56,23,40,36,88,48,80,12,83,59,93,28,2,14,13,89,31,42,86,10,36,69,62,37,9,53,61,46,91,45,25,6,19,49,95,71,51,91,34,91,36,45,29,11,24,60,37,93,73,98,22,80,41,2,23,20,3,61,78,98,66,23,69,36
2,82,24,42,69,73,77,13,35,59,89,53,21,83,79,2,42,18,99,96,70,89,7,42,88,98,22,81,45,84,74,75,36,70,9,29,4,56,80,35,8,73,59,2,12,30,68,59,6,21,8,30,34,36,34,91,100,78,59,16,23,37,31,13,79,93,88,28,18,24,23,38,41,93,56,13,30,94,33,2,85,57,77,56,56,83,10,55,47,33,9,2,23,90,92,100,61,19,79,97
85,25,56,75,55,2,63,67,59,31,69,23,38,32,13,16,79,30,47,10,58,61,27,8,38,42,45,60,61,62,92,47,94,9,63,89,20,76,1,22,79,8,52,37,89,88,36,2,42,9,53,83,55,95,41,74,79,3,2,11,3,64,34,13,63,45,4,81,68,35,1,19,60,59,77,29,11,77,23,69,27,94,91,89,50,49,56,94,71,32,3,4,53,49,76,15,24,76,88,96
2,94,7,39,35,33,14,77,92,98,12,98,71,13,37,33,26,56,64,31,39,83,9,80,81,94,58,96,79,96,90,81,85,8,4,45,65,7,88,67,54,14,42,23,74,76,46,8,7,81,8,55,58,46,38,88,74,9,82,61,5,71,75,73,23,3,43,57,73,47,37,61,9,37,74,60,99,68,95,97,26,2,82,3,13,11,42,66,32,66,99,67,92,62,4,17,81,72,60,42
2,48,13,62,84,81,82,47,87,97,55,49,20,21,7,34,42,91,83,62,82,42,94,93,24,30,70,42,34,9,69,53,10,49,51,52,2,65,93,32,46,76,14,11,86,28,84,43,36,58,89,65,81,33,10,75,30,37,20,38,3,27,60,20,66,83,39,82,35,49,29,49,17,5,7,17,76,55,5,79,13,64,97,53,73,89,8,94,36,90,51,81,65,15,14,100,81,74,16,91
9,93,45,29,86,2,19,50,82,34,29,3,6,58,57,36,20,32,7,55,19,9,77,13,26,81,56,22,37,63,33,47,89,79,13,37,94,51,26,59,63,74,38,3,5,70,74,44,41,47,77,20,66,34,27,14,10,76,98,36,24,30,91,95,40,32,79,56,59,76,98,83,95,24,44,42,71,37,80,45,74,60,72,96,93,48,39,32,23,34,63,58,13,87,24,65,77,64,73,75
